MatchID,Year,Decade,Date,Time,Stage,StageType,Group,Stadium,HostCity,HostCountry,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,GoalDifference,Result,Winner,ExtraTime,PenaltyShootout,HomePenaltyGoals,AwayPenaltyGoals,HighScoringMatch,Scoreline
M-1930-01,1930,1930s,1930-07-13,15:00,Group Stage,Group Stage,Group 1,Estadio Pocitos,Montevideo,Uruguay,France,Mexico,4,1,5,3,Home Win,France,No,No,0,0,Yes,4–1
M-1930-02,1930,1930s,1930-07-13,15:00,Group Stage,Group Stage,Group 4,Estadio Gran Parque Central,Montevideo,Uruguay,United States,Belgium,3,0,3,3,Home Win,United States,No,No,0,0,No,3–0
M-1930-03,1930,1930s,1930-07-14,12:45,Group Stage,Group Stage,Group 2,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,Brazil,2,1,3,1,Home Win,Yugoslavia,No,No,0,0,No,2–1
M-1930-04,1930,1930s,1930-07-14,14:50,Group Stage,Group Stage,Group 3,Estadio Pocitos,Montevideo,Uruguay,Romania,Peru,3,1,4,2,Home Win,Romania,No,No,0,0,No,3–1
M-1930-05,1930,1930s,1930-07-15,16:00,Group Stage,Group Stage,Group 1,Estadio Gran Parque Central,Montevideo,Uruguay,Argentina,France,1,0,1,1,Home Win,Argentina,No,No,0,0,No,1–0
M-1930-06,1930,1930s,1930-07-16,14:45,Group Stage,Group Stage,Group 1,Estadio Gran Parque Central,Montevideo,Uruguay,Chile,Mexico,3,0,3,3,Home Win,Chile,No,No,0,0,No,3–0
M-1930-07,1930,1930s,1930-07-17,12:45,Group Stage,Group Stage,Group 2,Estadio Gran Parque Central,Montevideo,Uruguay,Yugoslavia,Bolivia,4,0,4,4,Home Win,Yugoslavia,No,No,0,0,No,4–0
M-1930-08,1930,1930s,1930-07-17,14:45,Group Stage,Group Stage,Group 4,Estadio Gran Parque Central,Montevideo,Uruguay,United States,Paraguay,3,0,3,3,Home Win,United States,No,No,0,0,No,3–0
M-1930-09,1930,1930s,1930-07-18,14:30,Group Stage,Group Stage,Group 3,Estadio Centenario,Montevideo,Uruguay,Uruguay,Peru,1,0,1,1,Home Win,Uruguay,No,No,0,0,No,1–0
M-1930-10,1930,1930s,1930-07-19,12:50,Group Stage,Group Stage,Group 1,Estadio Centenario,Montevideo,Uruguay,Chile,France,1,0,1,1,Home Win,Chile,No,No,0,0,No,1–0
M-1930-11,1930,1930s,1930-07-19,15:00,Group Stage,Group Stage,Group 1,Estadio Centenario,Montevideo,Uruguay,Argentina,Mexico,6,3,9,3,Home Win,Argentina,No,No,0,0,Yes,6–3
M-1930-12,1930,1930s,1930-07-20,13:00,Group Stage,Group Stage,Group 2,Estadio Centenario,Montevideo,Uruguay,Brazil,Bolivia,4,0,4,4,Home Win,Brazil,No,No,0,0,No,4–0
M-1930-13,1930,1930s,1930-07-20,15:00,Group Stage,Group Stage,Group 4,Estadio Centenario,Montevideo,Uruguay,Paraguay,Belgium,1,0,1,1,Home Win,Paraguay,No,No,0,0,No,1–0
M-1930-14,1930,1930s,1930-07-21,14:50,Group Stage,Group Stage,Group 3,Estadio Centenario,Montevideo,Uruguay,Uruguay,Romania,4,0,4,4,Home Win,Uruguay,No,No,0,0,No,4–0
M-1930-15,1930,1930s,1930-07-22,14:45,Group Stage,Group Stage,Group 1,Estadio Centenario,Montevideo,Uruguay,Argentina,Chile,3,1,4,2,Home Win,Argentina,No,No,0,0,No,3–1
M-1930-16,1930,1930s,1930-07-26,14:45,Semi-Finals,Knockout Stage,not applicable,Estadio Centenario,Montevideo,Uruguay,Argentina,United States,6,1,7,5,Home Win,Argentina,No,No,0,0,Yes,6–1
M-1930-17,1930,1930s,1930-07-27,14:45,Semi-Finals,Knockout Stage,not applicable,Estadio Centenario,Montevideo,Uruguay,Uruguay,Yugoslavia,6,1,7,5,Home Win,Uruguay,No,No,0,0,Yes,6–1
M-1930-18,1930,1930s,1930-07-30,14:15,Final,Knockout Stage,not applicable,Estadio Centenario,Montevideo,Uruguay,Uruguay,Argentina,4,2,6,2,Home Win,Uruguay,No,No,0,0,Yes,4–2
M-1934-01,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Benito Mussolini,Turin,Italy,Austria,France,3,2,5,1,Home Win,Austria,Yes,No,0,0,Yes,3–2
M-1934-02,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Littorio,Trieste,Italy,Czechoslovakia,Romania,2,1,3,1,Home Win,Czechoslovakia,No,No,0,0,No,2–1
M-1934-03,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Giovanni Berta,Florence,Italy,Germany,Belgium,5,2,7,3,Home Win,Germany,No,No,0,0,Yes,5–2
M-1934-04,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Giorgio Ascarelli,Naples,Italy,Hungary,Egypt,4,2,6,2,Home Win,Hungary,No,No,0,0,Yes,4–2
M-1934-05,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Nazionale PNF,Rome,Italy,Italy,United States,7,1,8,6,Home Win,Italy,No,No,0,0,Yes,7–1
M-1934-06,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Luigi Ferraris,Genoa,Italy,Spain,Brazil,3,1,4,2,Home Win,Spain,No,No,0,0,No,3–1
M-1934-07,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,Stadio Renato Dall'Ara,Bologna,Italy,Sweden,Argentina,3,2,5,1,Home Win,Sweden,No,No,0,0,Yes,3–2
M-1934-08,1934,1930s,1934-05-27,16:00,Round Of 16,Knockout Stage,not applicable,San Siro,Milan,Italy,Switzerland,Netherlands,3,2,5,1,Home Win,Switzerland,No,No,0,0,Yes,3–2
M-1934-09,1934,1930s,1934-05-31,16:30,Quarter-Finals,Knockout Stage,not applicable,Stadio Renato Dall'Ara,Bologna,Italy,Austria,Hungary,2,1,3,1,Home Win,Austria,No,No,0,0,No,2–1
M-1934-10,1934,1930s,1934-05-31,16:30,Quarter-Finals,Knockout Stage,not applicable,Stadio Benito Mussolini,Turin,Italy,Czechoslovakia,Switzerland,3,2,5,1,Home Win,Czechoslovakia,No,No,0,0,Yes,3–2
M-1934-11,1934,1930s,1934-05-31,16:30,Quarter-Finals,Knockout Stage,not applicable,San Siro,Milan,Italy,Germany,Sweden,2,1,3,1,Home Win,Germany,No,No,0,0,No,2–1
M-1934-12,1934,1930s,1934-05-31,16:30,Quarter-Finals,Knockout Stage,not applicable,Stadio Giovanni Berta,Florence,Italy,Italy,Spain,1,1,2,0,Draw,Draw,Yes,No,0,0,No,1–1
M-1934-13,1934,1930s,1934-06-01,16:30,Quarter-Finals,Knockout Stage,not applicable,Stadio Giovanni Berta,Florence,Italy,Italy,Spain,1,0,1,1,Home Win,Italy,No,No,0,0,No,1–0
M-1934-14,1934,1930s,1934-06-03,16:30,Semi-Finals,Knockout Stage,not applicable,Stadio Nazionale PNF,Rome,Italy,Czechoslovakia,Germany,3,1,4,2,Home Win,Czechoslovakia,No,No,0,0,No,3–1
M-1934-15,1934,1930s,1934-06-03,16:30,Semi-Finals,Knockout Stage,not applicable,San Siro,Milan,Italy,Italy,Austria,1,0,1,1,Home Win,Italy,No,No,0,0,No,1–0
M-1934-16,1934,1930s,1934-06-07,18:00,Third-Place Match,Knockout Stage,not applicable,Stadio Giorgio Ascarelli,Naples,Italy,Germany,Austria,3,2,5,1,Home Win,Germany,No,No,0,0,Yes,3–2
M-1934-17,1934,1930s,1934-06-10,17:00,Final,Knockout Stage,not applicable,Stadio Nazionale PNF,Rome,Italy,Italy,Czechoslovakia,2,1,3,1,Home Win,Italy,Yes,No,0,0,No,2–1
M-1938-01,1938,1930s,1938-06-04,17:00,Round Of 16,Knockout Stage,not applicable,Parc des Princes,Paris,France,Switzerland,Germany,1,1,2,0,Draw,Draw,Yes,No,0,0,No,1–1
M-1938-02,1938,1930s,1938-06-05,17:00,Round Of 16,Knockout Stage,not applicable,Stade du T.O.E.C.,Toulouse,France,Cuba,Romania,3,3,6,0,Draw,Draw,Yes,No,0,0,Yes,3–3
M-1938-03,1938,1930s,1938-06-05,17:00,Round Of 16,Knockout Stage,not applicable,Stade Olympique de Colombes,Paris,France,France,Belgium,3,1,4,2,Home Win,France,No,No,0,0,No,3–1
M-1938-04,1938,1930s,1938-06-05,17:00,Round Of 16,Knockout Stage,not applicable,Vélodrome Municipal,Reims,France,Hungary,Dutch East Indies,6,0,6,6,Home Win,Hungary,No,No,0,0,Yes,6–0
M-1938-05,1938,1930s,1938-06-05,17:00,Round Of 16,Knockout Stage,not applicable,Stade Vélodrome,Marseille,France,Italy,Norway,2,1,3,1,Home Win,Italy,Yes,No,0,0,No,2–1
